timestamp,id,temperature,pm,longitude,latitude,area
0,0,21.47,44.62,0.37,9.9,0
1,0,21.16,44.13,0.37,9.9,0
2,0,21.17,38.48,0.37,9.9,0
3,0,20.36,55.86,0.37,9.9,0
4,0,20.99,16.01,0.37,9.9,0
5,0,20.62,28.19,0.37,9.9,0
6,0,21.72,24.06,0.37,9.9,0
7,0,22.47,13.97,0.37,9.9,0
8,0,20.24,-30.03,0.37,9.9,0
9,0,21.63,34.01,0.37,9.9,0
10,0,20.76,32.66,0.37,9.9,0
11,0,20.43,35.71,0.37,9.9,0
12,0,19.77,34.14,0.37,9.9,0
13,0,20.16,23.78,0.37,9.9,0
14,0,20.95,32.97,0.37,9.9,0
15,0,21.46,32.47,0.37,9.9,0
16,0,21.99,25.33,0.37,9.9,0
17,0,20.03,25.16,0.37,9.9,0
18,0,20.58,30.19,0.37,9.9,0
19,0,20.29,52.91,0.37,9.9,0
20,0,-20.72,33.97,0.37,9.9,0
21,0,21.16,41.05,0.37,9.9,0
22,0,21.27,41.25,0.37,9.9,0
23,0,21.48,39.32,0.37,9.9,0
24,0,20.72,23.98,0.37,9.9,0
25,0,20.78,26.17,0.37,9.9,0
26,0,20.87,35.09,0.37,9.9,0
27,0,21.13,32.45,0.37,9.9,0
28,0,20.77,45.03,0.37,9.9,0
29,0,20.68,43.1,0.37,9.9,0
30,0,21.98,23.21,0.37,9.9,0
31,0,22.03,46.92,0.37,9.9,0
32,0,21.11,9.39,0.37,9.9,0
33,0,21.65,23.98,0.37,9.9,0
34,0,21.81,29.89,0.37,9.9,0
35,0,22.41,33.49,0.37,9.9,0
36,0,21.27,31.92,0.37,9.9,0
37,0,22.23,37.07,0.37,9.9,0
38,0,20.48,39.32,0.37,9.9,0
39,0,20.78,40.5,0.37,9.9,0
40,0,21.34,52.89,0.37,9.9,0
41,0,21.07,30.37,0.37,9.9,0
42,0,20.2,39.31,0.37,9.9,0
43,0,22.14,33.59,0.37,9.9,0
44,0,21.55,27.78,0.37,9.9,0
45,0,21.29,41.23,0.37,9.9,0
46,0,21.89,41.04,0.37,9.9,0
47,0,21.01,39.12,0.37,9.9,0
48,0,20.58,41.04,0.37,9.9,0
49,0,21.11,27.12,0.37,9.9,0
50,0,20.45,33.06,0.37,9.9,0
51,0,20.68,24.84,0.37,9.9,0
52,0,21.03,22.94,0.37,9.9,0
53,0,20.19,58.99,0.37,9.9,0
54,0,20.75,28.31,0.37,9.9,0
55,0,19.82,40.19,0.37,9.9,0
56,0,21.96,35.86,0.37,9.9,0
57,0,20,43.59,0.37,9.9,0
58,0,20.36,58.14,0.37,9.9,0
59,0,21.58,33.3,0.37,9.9,0
60,0,20.82,40.53,0.37,9.9,0
61,0,22.2,48.07,0.37,9.9,0
62,0,20.72,24.28,0.37,9.9,0
63,0,21.43,36.09,0.37,9.9,0
64,0,20.29,17.07,0.37,9.9,0
65,0,21.05,33.98,0.37,9.9,0
66,0,21.01,32.3,0.37,9.9,0
67,0,19.56,32.43,0.37,9.9,0
68,0,21.91,47.59,0.37,9.9,0
69,0,20.42,44.38,0.37,9.9,0
70,0,20.97,42.18,0.37,9.9,0
71,0,20.74,19,0.37,9.9,0
72,0,21.09,38.08,0.37,9.9,0
73,0,20.97,33.42,0.37,9.9,0
74,0,20.41,39,0.37,9.9,0
75,0,21.84,36.71,0.37,9.9,0
76,0,20.3,55.55,0.37,9.9,0
77,0,20.65,30.3,0.37,9.9,0
78,0,22.08,35.9,0.37,9.9,0
79,0,21.22,29.41,0.37,9.9,0
80,0,22.12,40.92,0.37,9.9,0
81,0,21.95,41.1,0.37,9.9,0
82,0,21.28,23.3,0.37,9.9,0
83,0,21.89,47.13,0.37,9.9,0
84,0,20.22,34.95,0.37,9.9,0
85,0,21.11,23.37,0.37,9.9,0
86,0,20.22,27.53,0.37,9.9,0
87,0,20.19,45.67,0.37,9.9,0
88,0,20.74,31.3,0.37,9.9,0
89,0,22.23,46.34,0.37,9.9,0
90,0,20.64,32.3,0.37,9.9,0
91,0,20.9,42.73,0.37,9.9,0
92,0,20.62,36.1,0.37,9.9,0
93,0,21.67,15.21,0.37,9.9,0
94,0,21.14,38.64,0.37,9.9,0
95,0,20.82,40,0.37,9.9,0
96,0,20.11,28.37,0.37,9.9,0
97,0,21.07,49.67,0.37,9.9,0
98,0,21.46,49.24,0.37,9.9,0
99,0,21.72,38.26,0.37,9.9,0
100,0,20.96,35.02,0.37,9.9,0
101,0,20.77,29.77,0.37,9.9,0
102,0,21.43,30.01,0.37,9.9,0
103,0,21.05,56.41,0.37,9.9,0
104,0,20.57,40.01,0.37,9.9,0
105,0,21.24,16.85,0.37,9.9,0
106,0,19.96,38.58,0.37,9.9,0
107,0,20.43,27.92,0.37,9.9,0
108,0,20.83,29.17,0.37,9.9,0
109,0,21.01,45.3,0.37,9.9,0
110,0,20.26,28.88,0.37,9.9,0
111,0,20.65,25.81,0.37,9.9,0
112,0,21.55,23.32,0.37,9.9,0
113,0,20.92,36.11,0.37,9.9,0
114,0,20.53,39.53,0.37,9.9,0
115,0,21.18,37.26,0.37,9.9,0
116,0,21.65,28.66,0.37,9.9,0
117,0,20.92,29.79,0.37,9.9,0
118,0,21.2,35.73,0.37,9.9,0
119,0,21.33,37.89,0.37,9.9,0
0,1,21.05,34.02,0.37,9.1,0
1,1,20.61,33.85,0.37,9.1,0
2,1,20.89,33.97,0.37,9.1,0
3,1,20.88,33.77,0.37,9.1,0
4,1,20.74,33.67,0.37,9.1,0
5,1,20.61,33.75,0.37,9.1,0
6,1,20.95,33.53,0.37,9.1,0
7,1,22.06,34.65,0.37,9.1,0
8,1,21.16,33.84,0.37,9.1,0
9,1,23.36,34.29,0.37,9.1,0
10,1,20.26,33.79,0.37,9.1,0
11,1,20.72,33.8,0.37,9.1,0
12,1,21.31,34.03,0.37,9.1,0
13,1,20.68,33.86,0.37,9.1,0
14,1,20.49,33.92,0.37,9.1,0
15,1,21.04,34.11,0.37,9.1,0
16,1,21.11,33.99,0.37,9.1,0
17,1,20.84,34.03,0.37,9.1,0
18,1,20.58,33.81,0.37,9.1,0
19,1,20.8,34.21,0.37,9.1,0
20,1,20.77,33.9,0.37,9.1,0
21,1,20.2,34.16,0.37,9.1,0
22,1,20.27,33.82,0.37,9.1,0
23,1,21.59,33.8,0.37,9.1,0
24,1,20.32,33.99,0.37,9.1,0
25,1,20.59,34.2,0.37,9.1,0
26,1,20.9,33.84,0.37,9.1,0
27,1,20.57,33.87,0.37,9.1,0
28,1,20.84,34.34,0.37,9.1,0
29,1,21.37,34.08,0.37,9.1,0
30,1,21.48,34.54,0.37,9.1,0
31,1,20.74,34.3,0.37,9.1,0
32,1,21.42,34.24,0.37,9.1,0
33,1,20.94,34.23,0.37,9.1,0
34,1,21.36,34.02,0.37,9.1,0
35,1,20.34,34.02,0.37,9.1,0
36,1,20.37,34.06,0.37,9.1,0
37,1,21.4,34.41,0.37,9.1,0
